Timestamp,CPU_Percent,RAM_Percent
2026-03-23 16:51:53,35.6,17.8
2026-03-23 16:51:54,41.2,21.7
2026-03-23 16:51:55,45.5,22.1
2026-03-23 16:51:56,59.8,22.3
2026-03-23 16:51:57,100.0,22.4
2026-03-23 16:51:58,97.5,22.4
2026-03-23 16:51:59,96.5,22.6
2026-03-23 16:52:00,97.5,22.7
2026-03-23 16:52:01,77.1,22.7
2026-03-23 16:52:02,65.0,22.8
2026-03-23 16:52:03,68.7,22.9
2026-03-23 16:52:04,66.0,22.9
2026-03-23 16:52:05,61.6,22.9
2026-03-23 16:52:06,59.8,22.9
2026-03-23 16:52:07,63.5,22.9
2026-03-23 16:52:08,69.2,22.9
2026-03-23 16:52:09,64.8,22.9
2026-03-23 16:52:10,60.6,22.9
2026-03-23 16:52:11,83.6,22.9
2026-03-23 16:52:12,99.5,22.9
2026-03-23 16:52:13,100.0,23.1
2026-03-23 16:52:14,99.5,23.1
2026-03-23 16:52:15,99.5,23.0
2026-03-23 16:52:16,73.6,23.0
2026-03-23 16:52:17,63.5,23.1
2026-03-23 16:52:18,60.8,23.1
2026-03-23 16:52:19,62.1,22.8
2026-03-23 16:52:20,68.8,22.9
2026-03-23 16:52:21,60.0,22.9
2026-03-23 16:52:22,61.3,22.9
2026-03-23 16:52:23,62.1,22.9
2026-03-23 16:52:24,63.0,22.9
2026-03-23 16:52:25,71.4,22.9
2026-03-23 16:52:26,78.7,23.0
2026-03-23 16:52:27,99.5,23.0
2026-03-23 16:52:28,100.0,23.0
2026-03-23 16:52:29,99.5,23.0
2026-03-23 16:52:30,99.5,22.9
2026-03-23 16:52:31,80.4,22.9
2026-03-23 16:52:32,61.1,22.9
2026-03-23 16:52:33,60.0,22.9
2026-03-23 16:52:34,60.8,22.9
2026-03-23 16:52:35,62.0,22.9
2026-03-23 16:52:36,65.3,22.9
2026-03-23 16:52:37,63.8,22.9
2026-03-23 16:52:38,61.8,22.9
2026-03-23 16:52:39,63.6,22.9
2026-03-23 16:52:40,61.2,22.9
2026-03-23 16:52:41,88.4,22.9
2026-03-23 16:52:42,99.0,22.9
2026-03-23 16:52:43,98.5,22.9
2026-03-23 16:52:44,100.0,22.9
2026-03-23 16:52:45,99.5,22.9
2026-03-23 16:52:46,98.5,22.9
2026-03-23 16:52:47,57.1,22.9
2026-03-23 16:52:48,57.3,22.9
2026-03-23 16:52:49,59.5,22.9
2026-03-23 16:52:50,68.2,22.9
2026-03-23 16:52:51,63.8,22.9
2026-03-23 16:52:52,61.3,22.9
2026-03-23 16:52:53,60.3,22.9
2026-03-23 16:52:54,62.1,23.0
2026-03-23 16:52:55,61.6,23.0
2026-03-23 16:52:56,64.6,22.9
2026-03-23 16:52:57,99.5,23.1
2026-03-23 16:52:58,98.5,23.1
2026-03-23 16:52:59,100.0,23.1
2026-03-23 16:53:00,99.5,23.2
2026-03-23 16:53:01,99.5,23.0
2026-03-23 16:53:02,100.0,23.0
2026-03-23 16:53:03,64.3,23.0
2026-03-23 16:53:04,64.3,23.0
2026-03-23 16:53:05,77.4,23.0
2026-03-23 16:53:06,66.7,23.0
2026-03-23 16:53:07,60.5,23.0
2026-03-23 16:53:08,60.6,23.0
2026-03-23 16:53:09,60.3,23.0
2026-03-23 16:53:10,64.0,23.0
2026-03-23 16:53:11,71.7,23.0
2026-03-23 16:53:12,59.3,23.0
2026-03-23 16:53:13,99.0,23.1
2026-03-23 16:53:14,99.5,23.0
2026-03-23 16:53:15,100.0,23.1
2026-03-23 16:53:16,100.0,22.8
2026-03-23 16:53:17,99.0,23.1
2026-03-23 16:53:18,98.0,22.7
2026-03-23 16:53:19,85.3,23.1
2026-03-23 16:53:20,60.8,23.1
2026-03-23 16:53:21,57.3,23.1
2026-03-23 16:53:22,77.0,23.1
2026-03-23 16:53:23,61.0,23.1
2026-03-23 16:53:24,61.9,23.1
2026-03-23 16:53:25,61.5,23.1
2026-03-23 16:53:26,59.5,23.1
2026-03-23 16:53:27,60.3,23.1
